block_id,mode,line_group,block_number,asset_class_new,depot_code,service_id,service_day,prev_trip_id,next_trip_id,prev_route_short_name,next_route_short_name,prev_trip_end_stop_code,next_trip_start_stop_code,prev_trip_end_stop_name,next_trip_start_stop_name,stop_code,candidate_name,start_sec,end_sec,event_type,soc_start_pct,soc_end_pct,charged_kwh,duration_sec,duration_min,start_dt,end_dt,assigned,dispenser_idx,reject_reason,installed_dispensers
2160468,medium,410.0,39.0,40-ft,HTC,1,MF,14843576,14843630,104,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,40170,40410,in_service_layover,66.57069225394518,69.33572197322265,15.59476761672488,240,4.0,11:09:30,11:13:30,True,5,,7
2160465,medium,388.0,5.0,40-ft,HTC,1,MF,14870652,14870628,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,40470,40830,in_service_layover,68.18767639421498,72.10316432134445,22.08335190901022,360,6.0,11:14:30,11:20:30,True,7,,7
2160652,medium,151.0,7.0,40-ft,PCT,1,MF,14846531,14846473,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,40890,41310,in_service_layover,69.09744590760842,73.51307770339267,24.90416332822315,420,7.0,11:21:30,11:28:30,True,3,,7
2162187,medium,410.0,3.0,40-ft,HTC,1,MF,14873204,14873384,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,41070,41970,in_service_layover,63.07979725940335,72.75491699233683,54.56767529374491,900,15.0,11:24:30,11:39:30,True,1,,7
2160374,medium,100.0,8.0,40-ft,HTC,1,MF,14842017,14842125,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,41850,42450,in_service_layover,69.93392691217714,75.85384920601328,33.38836173723581,600,10.0,11:37:30,11:47:30,True,4,,7
2162641,medium,701.0,10.0,40-ft,PCT,1,MF,14850660,14850616,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,41910,42210,in_service_layover,69.19764677014896,72.43284329188914,18.246508382614593,300,5.0,11:38:30,11:43:30,True,5,,7
2160451,medium,388.0,1.0,40-ft,HTC,1,MF,14843597,14843623,104,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,41970,42210,in_service_layover,68.6792053215396,71.33195051859873,14.961482911413555,240,4.0,11:39:30,11:43:30,True,2,,7
2160453,medium,410.0,15.0,40-ft,HTC,1,MF,14873288,14873385,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,42030,42870,in_service_layover,63.23133179491758,72.35283538206644,51.445280231519575,840,14.0,11:40:30,11:54:30,True,7,,7
2160653,medium,151.0,5.0,40-ft,PCT,1,MF,14846500,14846454,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,42090,42510,in_service_layover,68.2255489182903,72.72848571616414,25.396563540008515,420,7.0,11:41:30,11:48:30,True,6,,7
2160470,medium,388.0,2.0,40-ft,HTC,1,MF,14870653,14870629,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,42270,42630,in_service_layover,63.88772497696568,68.14245781020465,23.996693179467798,360,6.0,11:44:30,11:50:30,True,3,,7
2160456,medium,410.0,30.0,40-ft,HTC,1,MF,14873205,14873386,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,42930,43830,in_service_layover,59.67538829992034,70.04237601639412,58.46981072091211,900,15.0,11:55:30,12:10:30,True,1,,7
2160648,medium,151.0,13.0,40-ft,PCT,1,MF,14846530,14846453,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,43290,43710,in_service_layover,69.82660493549281,74.16778764356077,24.48427047350333,420,7.0,12:01:30,12:08:30,True,2,,7
2160419,medium,152.0,14.0,40-ft,PCT,1,MF,14842611,14842552,101,101,58322,52373,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 5,58322,22nd Street Station,43530,44310,in_service_layover,69.91472336002279,77.26856421826054,41.475662440460894,780,13.0,12:05:30,12:18:30,True,5,,7
2160377,medium,100.0,5.0,40-ft,HTC,1,MF,14841988,14842112,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,43650,44250,in_service_layover,66.12305722310813,72.58754906612587,36.45973399461997,600,10.0,12:07:30,12:17:30,True,4,,7
2160468,medium,410.0,39.0,40-ft,HTC,1,MF,14843578,14843634,104,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,43770,44010,in_service_layover,63.944099032458915,66.83563099309916,16.308240258010983,240,4.0,12:09:30,12:13:30,True,6,,7
2160561,medium,410.0,17.0,40-ft,HTC,1,MF,14873216,14873387,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,43770,44730,in_service_layover,64.22599652826445,74.15515867877001,56.000474528851385,960,16.0,12:09:30,12:25:30,True,3,,7
2160859,medium,152.0,1.0,40-ft,PCT,1,MF,14850653,14850631,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,43830,44010,in_service_layover,68.70433487838123,70.71891958987287,11.362257772812768,180,3.0,12:10:30,12:13:30,True,7,,7
2160450,medium,410.0,4.0,40-ft,HTC,1,MF,14870654,14870630,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,44070,44430,in_service_layover,61.417033903742244,65.84844993893783,24.99318643850313,360,6.0,12:14:30,12:20:30,True,2,,7
2160652,medium,151.0,7.0,40-ft,PCT,1,MF,14846529,14846472,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,44490,44910,in_service_layover,69.29569201050951,73.6912119045815,24.790732202566005,420,7.0,12:21:30,12:28:30,True,1,,7
2160373,medium,100.0,6.0,40-ft,HTC,1,MF,14842006,14842124,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,44550,45210,in_service_layover,67.7108900339303,74.48014903653831,38.178620774709145,660,11.0,12:22:30,12:33:30,True,6,,7
2160474,medium,410.0,29.0,40-ft,HTC,1,MF,14873254,14873388,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,44730,45390,in_service_layover,60.3487095162571,68.20630141425926,44.316818304732124,660,11.0,12:25:30,12:36:30,True,7,,7
2160449,medium,410.0,31.0,40-ft,HTC,1,MF,14873225,14873389,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,45570,46050,in_service_layover,66.32977779402223,71.6170002972042,29.819934917946284,480,8.0,12:39:30,12:47:30,True,4,,7
2160828,medium,152.0,15.0,40-ft,PCT,1,MF,14850661,14850632,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,45630,45810,in_service_layover,69.80566142427695,71.77344900146582,11.098321935345155,180,3.0,12:40:30,12:43:30,True,5,,7
2160451,medium,388.0,1.0,40-ft,HTC,1,MF,14843579,14843627,104,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,45630,45870,in_service_layover,65.940327577835,68.73680020915481,15.772105640643701,240,4.0,12:40:30,12:44:30,True,2,,7
2160653,medium,151.0,5.0,40-ft,PCT,1,MF,14846499,14846452,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,45690,46110,in_service_layover,68.51110002328099,72.98564989211988,25.236461260251417,420,7.0,12:41:30,12:48:30,True,3,,7
2162184,medium,388.0,4.0,40-ft,HTC,1,MF,14870655,14870631,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,45870,46230,in_service_layover,62.90826976067112,67.23390994196924,24.39661062252145,360,6.0,12:44:30,12:50:30,True,1,,7
2160452,medium,410.0,2.0,40-ft,HTC,1,MF,14873244,14873335,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,46410,46710,in_service_layover,58.87818101970981,62.75708721599011,21.8770309470209,300,5.0,12:53:30,12:58:30,True,6,,7
2160648,medium,151.0,13.0,40-ft,PCT,1,MF,14846528,14846451,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,46950,47310,in_service_layover,69.95040195067762,73.7136607841095,21.22477982055591,360,6.0,13:02:30,13:08:30,True,7,,7
2160459,medium,410.0,41.0,40-ft,HTC,1,MF,14873234,14843628,410,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,47250,47730,in_service_layover,66.67374426458022,71.92327202254417,29.607336554916685,480,8.0,13:07:30,13:15:30,True,5,,7
2160383,medium,100.0,2.0,40-ft,HTC,1,MF,14842039,14842111,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,47310,47910,in_service_layover,69.03223916052676,75.08424193243144,34.133295633542446,600,10.0,13:08:30,13:18:30,True,2,,7
2160808,medium,183.0,9.0,40-ft,PCT,1,MF,14850662,14850633,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,47370,47610,in_service_layover,69.69929986801714,72.29379238299796,14.6329377844919,240,4.0,13:09:30,13:13:30,True,4,,7
2160468,medium,410.0,39.0,40-ft,HTC,1,MF,14843584,14873325,104,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,47430,47910,in_service_layover,61.444008052335434,67.23519414067414,32.66228953823031,480,8.0,13:10:30,13:18:30,True,3,,7
2160461,medium,410.0,11.0,40-ft,HTC,1,MF,14870656,14870632,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,47670,48030,in_service_layover,62.6643875811454,67.00733881652515,24.494244967541817,360,6.0,13:14:30,13:20:30,True,1,,7
2160471,medium,410.0,12.0,40-ft,HTC,1,MF,14873249,14873393,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,48150,48510,in_service_layover,60.38920173850468,64.89351367194406,25.40431930459812,360,6.0,13:22:30,13:28:30,True,6,,7
2160652,medium,151.0,7.0,40-ft,PCT,1,MF,14846507,14846471,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,48150,48510,in_service_layover,69.47382621169834,73.27899678035764,21.4611620072385,360,6.0,13:22:30,13:28:30,True,7,,7
2160376,medium,100.0,3.0,40-ft,HTC,1,MF,14842026,14842122,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,48210,48690,in_service_layover,69.10030982817528,74.07563523761232,28.060835309224785,480,8.0,13:23:30,13:31:30,True,4,,7
2160374,medium,100.0,8.0,40-ft,HTC,1,MF,14842016,14842093,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,49110,49530,in_service_layover,67.11304831507667,71.72466305399463,26.009507127497386,420,7.0,13:38:30,13:45:30,True,5,,7
2162187,medium,410.0,3.0,40-ft,HTC,1,MF,14873226,14873344,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,49170,49710,in_service_layover,62.276184072685716,68.62876749023391,35.8285704749718,540,9.0,13:39:30,13:48:30,True,2,,7
2160451,medium,388.0,1.0,40-ft,HTC,1,MF,14843585,14843656,104,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,49290,49890,in_service_layover,63.345177268391076,70.1840898290706,38.57146684223255,600,10.0,13:41:30,13:51:30,True,3,,7
2160653,medium,151.0,5.0,40-ft,PCT,1,MF,14846498,14846450,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,49350,49710,in_service_layover,68.76826419923673,72.63445774451847,21.805331595388964,360,6.0,13:42:30,13:48:30,True,1,,7
2164321,medium,410.0,10.0,40-ft,HTC,1,MF,14870657,14870633,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,49470,49830,in_service_layover,60.40116516321146,64.90462862681348,25.399533934715407,360,6.0,13:44:30,13:50:30,True,6,,7
2160367,medium,100.0,4.0,40-ft,HTC,1,MF,14842025,14842186,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,50010,50310,in_service_layover,68.58387624853606,71.86274000757116,18.492791600957958,300,5.0,13:53:30,13:58:30,True,7,,7
2160453,medium,410.0,15.0,40-ft,HTC,1,MF,14873250,14843679,410,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,50070,51330,in_service_layover,61.874102462415316,74.67760635178817,72.21176193606289,1260,21.0,13:54:30,14:15:30,True,4,,7
2160414,medium,152.0,6.0,40-ft,PCT,1,MF,14842615,14842556,101,101,58322,52373,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 5,58322,22nd Street Station,50970,51510,in_service_layover,67.68924359135175,73.38888575354748,32.14598179478389,540,9.0,14:09:30,14:18:30,True,5,,7
2160805,medium,152.0,10.0,40-ft,PCT,1,MF,14850664,14850600,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,51090,51330,in_service_layover,68.12942314512014,70.81250097132009,15.132558939767705,240,4.0,14:11:30,14:15:30,True,1,,7
2160456,medium,410.0,30.0,40-ft,HTC,1,MF,14873252,14873372,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,51090,51510,in_service_layover,59.56364309674299,64.84172303805768,29.768370869014802,420,7.0,14:11:30,14:18:30,True,2,,7
2160648,medium,151.0,13.0,40-ft,PCT,1,MF,14846526,14846449,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,51210,51450,in_service_layover,69.49627509122635,72.10256571991548,14.69947914580672,240,4.0,14:13:30,14:17:30,True,6,,7
2160459,medium,410.0,41.0,40-ft,HTC,1,MF,14843586,14843641,104,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,51210,52050,in_service_layover,66.53164908178043,75.01206297939967,47.82953438257255,840,14.0,14:13:30,14:27:30,True,3,,7
2160465,medium,388.0,5.0,40-ft,HTC,1,MF,14870658,14870634,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,51270,51570,in_service_layover,61.5499850904004,65.27043514415922,20.983338303199844,300,5.0,14:14:30,14:19:30,True,7,,7
2160373,medium,100.0,6.0,40-ft,HTC,1,MF,14842004,14842171,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,51810,52350,in_service_layover,65.90460447250486,71.82748878159899,33.40506750329092,540,9.0,14:23:30,14:32:30,True,1,,7
2160561,medium,410.0,17.0,40-ft,HTC,1,MF,14873255,14873370,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,51990,53070,in_service_layover,63.676425759118885,74.67069066329395,62.00765405954735,1080,18.0,14:26:30,14:44:30,True,4,,7
2160652,medium,151.0,7.0,40-ft,PCT,1,MF,14846525,14846448,128,128,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,52470,52710,in_service_layover,69.06161108747449,71.69281927745898,14.840014191512523,240,4.0,14:34:30,14:38:30,True,6,,7
2160375,medium,100.0,7.0,40-ft,HTC,1,MF,14842015,14842151,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,52710,53370,in_service_layover,69.70312335499068,76.15492901402033,36.38818391692723,660,11.0,14:38:30,14:49:30,True,2,,7
2160823,medium,151.0,4.0,40-ft,PCT,1,MF,14842616,14842557,101,101,58322,52373,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 5,58322,22nd Street Station,52890,53310,in_service_layover,69.16068159230875,73.5699089710826,24.86804241628454,420,7.0,14:41:30,14:48:30,True,5,,7
2160474,medium,410.0,29.0,40-ft,HTC,1,MF,14873227,14873369,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,52890,53550,in_service_layover,57.727568494608136,65.94721742286222,46.358819955353056,660,11.0,14:41:30,14:52:30,True,7,,7
